dataset,class_key,support,recall,precision,f1
atrw,85,2.0,1.0,1.0,1.0
atrw,87,8.0,1.0,1.0,1.0
atrw,88,2.0,1.0,1.0,1.0
atrw,9,4.0,1.0,1.0,1.0
atrw,90,2.0,1.0,1.0,1.0
atrw,91,2.0,1.0,1.0,1.0
atrw,93,5.0,1.0,1.0,1.0
atrw,94,2.0,1.0,1.0,1.0
atrw,96,2.0,1.0,1.0,1.0
atrw,97,4.0,1.0,1.0,1.0
atrw,99,8.0,1.0,1.0,1.0
cowdataset,CowDataset_1,37.0,1.0,0.8809523809523809,0.9367088607594937
cowdataset,CowDataset_10,2.0,1.0,0.16666666666666666,0.2857142857142857
cowdataset,CowDataset_11,16.0,0.875,0.6666666666666666,0.7567567567567568
cowdataset,CowDataset_13,11.0,0.9090909090909091,0.7692307692307693,0.8333333333333334
cowdataset,CowDataset_2,75.0,0.72,1.0,0.8372093023255814
cowdataset,CowDataset_3,1.0,1.0,0.05263157894736842,0.1
cowdataset,CowDataset_4,101.0,0.8613861386138614,1.0,0.925531914893617
cowdataset,CowDataset_5,48.0,0.8125,0.9069767441860465,0.8571428571428571
cowdataset,CowDataset_6,14.0,0.42857142857142855,0.75,0.5454545454545454
cowdataset,CowDataset_7,19.0,0.8947368421052632,0.85,0.8717948717948718
cowdataset,CowDataset_8,41.0,1.0,0.9318181818181818,0.9647058823529412
cowdataset,CowDataset_9,4.0,1.0,0.6666666666666666,0.8
chicks4freeid,Chicks4FreeID_0,5.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_10,5.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_11,3.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_12,2.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_13,4.0,0.75,1.0,0.8571428571428571
chicks4freeid,Chicks4FreeID_14,3.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_15,5.0,1.0,0.8333333333333334,0.9090909090909091
chicks4freeid,Chicks4FreeID_16,5.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_17,3.0,1.0,0.75,0.8571428571428571
chicks4freeid,Chicks4FreeID_18,3.0,0.6666666666666666,1.0,0.8
chicks4freeid,Chicks4FreeID_19,3.0,0.6666666666666666,1.0,0.8
chicks4freeid,Chicks4FreeID_2,4.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_20,2.0,1.0,0.6666666666666666,0.8
chicks4freeid,Chicks4FreeID_21,3.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_22,4.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_23,2.0,0.0,0.0,0.0
chicks4freeid,Chicks4FreeID_24,6.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_25,3.0,1.0,0.75,0.8571428571428571
chicks4freeid,Chicks4FreeID_26,2.0,1.0,0.6666666666666666,0.8
chicks4freeid,Chicks4FreeID_27,3.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_28,4.0,1.0,0.8,0.8888888888888888
chicks4freeid,Chicks4FreeID_29,6.0,0.6666666666666666,1.0,0.8
chicks4freeid,Chicks4FreeID_3,6.0,1.0,0.75,0.8571428571428571
chicks4freeid,Chicks4FreeID_30,5.0,1.0,0.8333333333333334,0.9090909090909091
chicks4freeid,Chicks4FreeID_31,3.0,0.3333333333333333,1.0,0.5
chicks4freeid,Chicks4FreeID_32,8.0,0.75,1.0,0.8571428571428571
chicks4freeid,Chicks4FreeID_34,5.0,1.0,0.8333333333333334,0.9090909090909091
chicks4freeid,Chicks4FreeID_35,2.0,0.5,1.0,0.6666666666666666
chicks4freeid,Chicks4FreeID_36,2.0,1.0,0.6666666666666666,0.8
chicks4freeid,Chicks4FreeID_37,3.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_38,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
chicks4freeid,Chicks4FreeID_39,2.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_4,5.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_40,2.0,1.0,1.0,1.0
